movieId,rating,userId,mealskew,meal_name
2,3.0,0,2.0,Chicken Curry
3,1.0,0,3.0,Spicy Chicken Nuggest
5,2.0,0,5.0,Hamburger
9,4.0,0,9.0,Taco Surprise
11,1.0,0,11.0,Meatloaf
12,2.0,0,12.0,Ceaser Salad
15,1.0,0,15.0,BBQ Ribs
17,1.0,0,17.0,Sushi Plate
19,1.0,0,19.0,Cheesesteak Sandwhich
21,1.0,0,21.0,Lasagna
23,1.0,0,23.0,Orange Chicken
26,3.0,0,26.0,Spicy Beef Plate
27,1.0,0,27.0,Salmon with Mashed Potatoes
28,1.0,0,28.0,Penne Tomatoe Pasta
29,1.0,0,29.0,Pork Sliders
30,1.0,0,30.0,Vietnamese Sandwich
31,1.0,0,31.0,Chicken Wrap
34,1.0,0,,Cowboy Burger
37,1.0,0,,Cowboy Burger
41,2.0,0,,Cowboy Burger
44,1.0,0,,Cowboy Burger
45,2.0,0,,Cowboy Burger
46,1.0,0,,Cowboy Burger
47,1.0,0,,Cowboy Burger
48,1.0,0,,Cowboy Burger
50,1.0,0,,Cowboy Burger
51,1.0,0,,Cowboy Burger
54,1.0,0,,Cowboy Burger
55,1.0,0,,Cowboy Burger
59,2.0,0,,Cowboy Burger
61,2.0,0,,Cowboy Burger
64,1.0,0,,Cowboy Burger
67,1.0,0,,Cowboy Burger
68,1.0,0,,Cowboy Burger
69,1.0,0,,Cowboy Burger
71,1.0,0,,Cowboy Burger
72,1.0,0,,Cowboy Burger
77,2.0,0,,Cowboy Burger
79,1.0,0,,Cowboy Burger
83,1.0,0,,Cowboy Burger
87,1.0,0,,Cowboy Burger
89,2.0,0,,Cowboy Burger
91,3.0,0,,Cowboy Burger
92,4.0,0,,Cowboy Burger
94,1.0,0,,Cowboy Burger
95,2.0,0,,Cowboy Burger
96,1.0,0,,Cowboy Burger
98,1.0,0,,Cowboy Burger
99,1.0,0,,Cowboy Burger
2,2.0,1,2.0,Chicken Curry
3,1.0,1,3.0,Spicy Chicken Nuggest
4,2.0,1,4.0,Pretzels and Cheese Plate
6,1.0,1,6.0,Spicy Pork Sliders
9,3.0,1,9.0,Taco Surprise
12,1.0,1,12.0,Ceaser Salad
13,1.0,1,13.0,Mandarin Chicken PLate
14,1.0,1,14.0,Kung Pao Chicken
16,1.0,1,16.0,Fried Rice Plate
19,1.0,1,19.0,Cheesesteak Sandwhich
21,3.0,1,21.0,Lasagna
27,1.0,1,27.0,Salmon with Mashed Potatoes
28,3.0,1,28.0,Penne Tomatoe Pasta
33,1.0,1,,Cowboy Burger
36,2.0,1,,Cowboy Burger
37,1.0,1,,Cowboy Burger
40,1.0,1,,Cowboy Burger
41,2.0,1,,Cowboy Burger
43,1.0,1,,Cowboy Burger
44,1.0,1,,Cowboy Burger
47,1.0,1,,Cowboy Burger
50,1.0,1,,Cowboy Burger
54,1.0,1,,Cowboy Burger
56,2.0,1,,Cowboy Burger
57,1.0,1,,Cowboy Burger
58,1.0,1,,Cowboy Burger
60,1.0,1,,Cowboy Burger
62,4.0,1,,Cowboy Burger
63,1.0,1,,Cowboy Burger
67,1.0,1,,Cowboy Burger
68,4.0,1,,Cowboy Burger
70,2.0,1,,Cowboy Burger
72,1.0,1,,Cowboy Burger
73,1.0,1,,Cowboy Burger
74,2.0,1,,Cowboy Burger
76,1.0,1,,Cowboy Burger
77,3.0,1,,Cowboy Burger
78,1.0,1,,Cowboy Burger
81,1.0,1,,Cowboy Burger
82,1.0,1,,Cowboy Burger
85,3.0,1,,Cowboy Burger
86,2.0,1,,Cowboy Burger
88,2.0,1,,Cowboy Burger
91,1.0,1,,Cowboy Burger
92,2.0,1,,Cowboy Burger
93,1.0,1,,Cowboy Burger
